Prokeep English / French Translations ,,,,,,
Purpose: Record the French translation of Prokeep ,,,,,,
,,,,,,
App Section,Sub Section,English,French,Spanish,Internal Notes,ID
,,Close,Fermer,Cerrar,,settings-BusinessHours-close
,,Group Business Hours,Heures d'ouverture du groupe,Horas laborables del grupo,,settings-BusinessHours-groupBusinessHours
,,Workday,Journée de travail,Días laborables,,settings-BusinessHours-workday
,,Copy to all days,Copier à tous les jours,Copiar a todo los dias,,settings-BusinessHours-copyAllDays
,,Add New Temporary Hours,Ajouter nouvelles heures temporaires,Agregar nuevas horas temporales,,settings-HolidayHours-temporaryHours
,,TEMPORARY HOURS,HEURES TEMPORAIRES,Horas temporales,,settings-AddEditHolidayHours-temporaryHours
,,Save,Enregistrer,Guardar,,settings-AddEditHolidayHours-save
,,Delete,Supprimer,Eliminar,,settings-AddEditHolidayHours-delete
,,No records are currently being created.,Aucun enregistrement n'est actuellement en création,"Actualmente no se han creado registros
",,settings-HolidayHours-noRecords
,,Create a message to let customers know,Créez un message pour informer les clients,Cree un mensaje para que los clientes sepan,,settings-AfterHoursDashboard-createMessage
,,they have reached you outside business hours,qu'ils vous ont contacté en dehors des heures d'ouverture,que se comunicaron con usted fuera del horario laboral,,settings-AfterHoursDashboard-reachedOutside
,,Monday,Lundi,Lunes,,settings-AfterHoursDashboard-monday
,,Tuesday,Mardi,Martes,,settings-AfterHoursDashboard-tuesday
,,Wednesday,Mercredi,Miércoles,,settings-AfterHoursDashboard-wednesday
,,Thursday,Jeudi,Jueves,,settings-AfterHoursDashboard-thursday
,,Friday,Vendredi,Viernes,,settings-AfterHoursDashboard-friday
,,Saturday,Samedi,Sábado,,settings-AfterHoursDashboard-saturday
,,Sunday,Dimanche,Domingo,,settings-AfterHoursDashboard-sunday
,,"There is an error in your business hours, opening time must be earlier than the closing time.","Il y a une erreur dans vos heures d'ouverture, l'heure d'ouverture doit être plus tôt que l'heure de fermeture","Hay un error en el orario de abrir de su negocio, la hora de apertura debe ser anterior a la hora de cierre",,settings-AfterHoursDashboard-error
,,Success! After Hours Message settings saved.,Succès!  Les paramètres de votre message après les heures d'ouverture sont enregistrés ,Éxito! Ajuste Mensaje Fuera de Horario ha sido guardada.,,settings-AfterHoursDashboard-success
,,Title,Titre,Título,,settings-HolidayHours-title
,,Start Date,Date de début,Fecha de inicio,,settings-HolidayHours-startDate
,,End Date,Date de fin,Fecha de finalización,,settings-HolidayHours-endDate
,,Open,Ouvert,Abierto,,settings-HolidayHours-open
,,Close,Fermé,Cerrado,,settings-HolidayHours-close
,,Message,Message,Mensaje,,settings-HolidayHours-message
,,,,,,
,After Hours Message > Group > Temporary Hours,Title,Titre,Título,,settings-AddEditHours-title
,,Start Date,Date de début,Fecha de inicio,,settings-AddEditHours-startDate
,,End Date,Date de fin,Fecha de finalización,,settings-AddEditHours-endDate
,,Message,Message,Mensaje,,settings-AddEditHours-message
,,open,Ouvert,abierto,,settings-AddEditHours-open
,,close,Fermé,cerrado,,settings-AddEditHours-close
,,You have reached us outside of temporary business hours. Our temporary hours are 9 a.m. to 6 p.m.,Vous nous avez rejoint en dehors des nos heures d'ouvertures. Nos heurs temporaires sont de 9 am à 6 pm.,"Se ha comunicado con nosotros fuera del horario laboral. Nuestro horario laboral es de 9 a.m. a 6 p.m.
",,settings-AddEditHours-placeholderMessage
,,Availability,Disponibilité,Disponibilidad,,settings-AddEditHours-availability
,,Uncheck if unavailable for the selected date.,Décocher si vous n'êtes pas disponible pour la date sélectionnée ,Desmarque si no está disponible para la fecha seleccionada.,,settings-AddEditHours-unavailable
,,Success! Temporary hours created.,Succès! Heures temporaires créées,¡Éxito! Horas temporales creadas.,Toast notification.,settings-AddEditHolidayHours-successCreated
,,Success! Temporary hours edited.,Succès! Heures temporaires modifiées,¡Éxito! Horas temporales editadas.,Toast notification.,settings-AddEditHolidayHours-successEdited
,,Required.,Requis,Requerido,,settings-AddEditHolidayHours-required
,,Must be 100 characters or less.,Doit être 100 caractères ou moins.,Debe tener 100 caracteres o menos.,,settings-AddEditHolidayHours-hundredOrLess
,,Delete these temporary hours?,Supprimer les heures temporaires ?,¿Eliminar estas horas temporales?,,modals-DeleteTemporaryHours-deleteHours
,,Are you sure you want to delete these temporary hours for {location}?,Êtes-vous sûre que vous voulez supprimer les heures temporaires de {location}?,¿Está seguro que desea eliminar estas horas temporales para esta {location}?,modal,modals-DeleteTemporaryHours-areYouSure
,,"Yes, Delete","Oui, Supprimer","Si, Eliminar",,modals-DeleteTemporaryHours-yesDelete
,,Cancel,Annuler,Cancelar,,modals-DeleteTemporaryHours-cancel
,,Success! Record deleted.,Succès! Enregistrement supprimé,¡Éxito! Registro eliminado.,Toast notification.,settings-AddEditHolidayHours-success
,,Start date cannot be after end date,La date de début ne peut pas être après la date de fin,La Fecha de inicio no puede ser después de la Fecha de finalización.,,settings-AddEditHolidayHours-startDate
,,End date cannot be before start date,La date de fin ne peut pas être avant la date de début,La Fecha de finalización no puede ser antes de la Fecha de inicio.,,settings-AddEditHolidayHours-endDate
,,Open hour should be lower than close hour,L'heure d'ouverture devrait être inférieure à l'heure de fermeture,El horario de apertura debe ser inferior al horario de cierre,,settings-AddEditHolidayHours-openHour
,,Close hour should be greater than open hour,L'heure de fermeture devrait être supérieur à l'heure d'ouverture ,El horario de cierre debe ser mayor al horario de apertura,,settings-AddEditHolidayHours-closeHour
,,Overlap an existing set of Temporary Hours.,Chevaucher un ensemble d'heures temporaires,Superpone un conjunto de horas temporales existente.,,settings-AddOrEditHolidayHours-overlap
,,There was an error.,Il y a une erreur,Ha habido un error.,,settings-AddOrEditHolidayHours-error
,,,,,,
,,After Hours Message,Message après les heures d'ouverture,Mensajes Fuera de Horario,,settings-AddEditHolidayHours-afterHoursMessage
,,Temporary Hours,Heures temporaires,Horas Temporales,,settings-AddEditHolidayHours-temporaryHoursLower
,,,,,,
,,,,,,
Settings,Blocked Numbers,Blocked Numbers,Numéros bloqués,Números Bloqueados,,settings-BlockedNumbers-blockedNumbers
,,Number,Numéro,Número,,settings-BlockedNumbers-number
,,No numbers are currently being blocked,Aucun numéro n'est actuellement bloqué,Actualmente no hay números bloqueados,,settings-BlockedNumbers-noNumbersBlocked
,,Unblock,Débloquer,Desbloquear,,settings-BlockedNumbers-unblock
,,Unblock {number} ?,Débloquer {number} ?,Desbloquear {number} ?,,modals-UnblockNumber-unblock
,,This number will be able to send new messages to your account again,Ce numéro sera en mesure d'envoyer de nouveau message à votre compte de nouveau,Este número va a estar habilitado a enviar nuevos mensajes a su cuenta nuevamente,modal,modals-UnblockNumber-numberCanSendMessages
,,"Yes, unblock this number","Oui, débloquer ce numéro","Si, desbloquear este número",modal,modals-UnblockNumber-yesUnblock
,,Successfully unblocked {number}.,{number} Débloqué avec succès.,{number} Desbloqueado correctamente.,Toast notification,settings-BlockedNumbers-successfullyUnblocked
,,There was an error while unblocking {number}.,Une erreur s'est produite lors du déblocage de ce {number},Ha habido un error mientras se desbloquea el {number},,settings-BlockedNumbers-errorUnblocked
,,,,,,
Settings,Sharing,Sharing Settings,Les paramètres de partage ,Ajustes de uso compartido,,settings-SharingSettings-sharingSettings
,,Sharing,partagé,Uso compartido,,settings-SharingSettings-sharing
,,Allow messages to be shared between groups and individuals after a specified amount of time.,Autoriser le partage de messages entre le groupe et les individus apres un laps de temps spécifié,"Permita que los mensajes se comparten entre grupos e individuos después de un período de tiempo específico.
",,settings-SharingSettings-allowMessages
,,Time to share,Temps poir partager,Tiempo para compartir,,settings-SharingSettingsForm-timeToShare
,,Define the default length of time a message can be unclaimed before being shared to additional groups.,Définissez la durée par défaut pendant laquelle un message peut être non réclamé avant d'être partagé avec d'autres groupes,"Definir el intervalo predeterminado de tiempo en el que un mensaje puede ser atendido antes de ser compartido con otros grupos adicionales.
",,settings-SharingSettingsForm-defineDefaultLength
,,minutes,Minutes,minutos,,settings-SharingSettingsForm-minutes
,,Save,Enregistrer,Guardar,,settings-SharingSettings-save
,,There was an error.,Il y a une erreur,Ha habido un error,,settings-SharingSettingsContainer-error
,,Success! Company setting updated.,Succès! Le paramètre de la compagnie est enregistré,¡Éxito! ajuste de compañía actualizó.,,settings-SharingSettingsContainer-success
,,,,,,
Settings,Support and Feedback,Support and Feedback,Support et Commentaire,Soporte y comentarios,,settings-Support-support
,,Contact Prokeep,Contact Prokeep,Contacto Prokeep,,settings-Support-contact
,,Phone,Téléphone,Teléfono,,settings-Support-phone
,,Email,Courriel,Email,,settings-Support-email
,,Help Center,Centre d'aide,Centro de ayuda,,settings-Support-helpCenter
,,Prokeep Knowledge Base,Base de connaissance Prokeep,Base de conocimientos Prokeep,,settings-Support-knowledgeBase
,,Feedback,Commentaires,Retroalimentación,,settings-Support-feedback
,,Type your feedback here and press Submit when you are done. Your input helps us build a better product.,Taper vos commentaires ici et presser sur soumettre quand vous avez fini. Votre contribution nous aide à construire un meilleur produit,Escriba aquí sus comentarios y pulse Enviar cuando haya terminado. Su aporte nos ayuda a construir un mejor producto.,,settings-Support-typeFeedback
,,Copy to clipboard,Copier dans le presse-papier,Copiar al portapapeles,,settings-Support-copyClipboard
,,Copied,Copié,Copiado,,settings-Support-copied
,,Success,Succès,Éxito,,settings-Support-success
,,Thanks for submitting your feedback.,Merci de soumettre vos commentaires,Gracias por enviar sus comentarios.,,settings-Support-thanks
,,Submit,Soumettre,Sumitir,,settings-Support-submit
,,,,,,
Settings,Sign Out,Signing Out?,Déconnecter?,¿Cerrar sesión?,modal,modals-Logout-signingOut
,,Are you sure you want to sign out?,Êtes-vous sûre que vous voulez vous déconnecter?,¿Seguro que quieres desconectarte?,modal,modals-Logout-areYouSure
,,Sign Out,Déconnecter,Cerrar Sesión,modal,modals-Logout-signOut
,,Cancel,Annuler,Cancelar,,modals-Logout-cancel
,,,,,,
Settings,Menu,My Account,Mon compte,Mi cuenta,,settings-SettingsNavigation-myAccount
,,Settings,Paramètres,Ajustes,,settings-SettingsNavigation-settings
,,Preferences,Préférences,Preferencias,,settings-SettingsNavigation-preferences
,,People,Gens,Personas,,settings-SettingsNavigation-people
,,Users,Utilisateurs,Usuarios,,settings-SettingsNavigation-users
,,Customer Import,Importation clients,importación cliente,,settings-SettingsNavigation-customerImport
,,Company Settings,Paramètres entreprise,Configuración de la empresa,,settings-SettingsNavigation-companySettings
,,After Hours Message,Message apres les heures d'ouverture,Mensaje fuera de horario laboral,,settings-SettingsNavigation-afterHoursMessage
,,Blocked Numbers,Numéros bloqués ,Números Bloqueados,,settings-SettingsNavigation-blockedNumbers
,,Help,Aide,Ayuda,,settings-SettingsNavigation-help
,,Support and Feedback,Support et commentaire,Soporte y comentarios,,settings-SettingsNavigation-support
,,Announcements,Annonces,Anuncios,,settings-SettingsNavigation-announcements
,,Groups,Groupes,Grupos,,settings-SettingsNavigation-groups
,,Sharing,Partagé,compartir,,settings-SettingsNavigation-sharing
,,Sign Out,Déconnecter,Cerrar Sesión,,settings-SettingsNavigation-signOut
,,,,,,
Settings,Announcements,Create a new list,Créer une nouvelle liste,Crear una nueva lista,,modals-AddOrEditList-createNewList
,,Create list,Créer une liste,Crear lista,,modals-AddOrEditList-createList
,,Save,Enregistrer,Guardar,,modals-AddOrEditList-save
,,Tag name is required,Le nom de la balise est nécessaire,Nombre de etiqueta requerido,,modals-AddOrEditList-tagNameRequired
,,Reply Destination,Répondre à destination,Responder Destino,,settings-Announcements-replyDestination
,,Announcements,Annonces,anuncios,,settings-Announcements-announcements
,,Announcement reply destination,Destination de l'annonce,destino de respuesta anuncio,,settings-AnnouncementGroup-replyDestination
,,Select which group inbox you want to receive announcement replies,Selectionner le groupe que vous voulez qui recoive les réponses des annonces,Seleccionar a qué bandeja de entrada de grupo desea recibir mensajes de anuncios,,settings-AnnouncementGroup-selectGroupInbox
,,There was an error,Il y a une erreur,Ha habido un error,,settings-AnnouncementGroup-error
,,Announcement channel updated successfully.,Canal d'annonce mis à jour avec succès,canal de anuncio actualizado correctamente,,settings-AnnouncementGroup-success
,,Select a group,Sélectionner un groupe,Seleccionar un grupo,,settings-AnnouncementGroup-selectGroup
,,Announcement Lists,Liste d'annonce,Listas de anuncios,,settings-Announcements-announcementLists
,,New List,Nouvelle liste,Lista nueva,,settings-Announcements-newList
,,There was an error.,Il y a une erreur,Ha habido un error,,settings-Announcements-error
,,Get started with announcement lists,Commencez avec les listes d'annonce,Empezar a trabajar con listas de anuncios,,settings-TagList-getStarted
,,Delete,Supprimer,Eliminar,,settings-TagList-delete
,,"You can think of announcement lists like tags. Once you create a list name here in settings, ",vous pouvez penser à des listes d'annonces comme des balises.une fois que vous avez créé un nom de liste dans les paramètres,"Se puede pensar a las listas de anuncios como a las etiquetas. Una vez que se crea un nombre de la lista aquí en la configuración,",,settings-TagList-youCanThink
,,you then go into the contacts section to add each customer to the list.,Vous allez ensuite dans les contact pour ajouter chaque client à cette liste,"a continuación, ir a la sección de contactos para agregar a cada cliente a la lista.",,settings-TagList-youThenGo
,,Create your first list,Créer votre première liste,Crear su primera lista,,settings-TagList-createFirstList
,,List name,Nom de la liste,Lista de nombres,,modals-AddOrEditList-listName
,,"Recommended format: all lowercase, no spaces e.g. west-side-plumbers","Format recommandé: tout en minuscules, pas d'espaces ex: plombiers-de-ouest","Formato recomendado: todo en minúsculas, sin espacios, por ejemplo, Del lado oeste-fontaneros",,modals-AddOrEditList-recommendedFormat
,,Announcement channel updated successfully,Canal d'annonce mis à jour avec succès,canal de anuncio actualizado correctamente,,settings-Announcements-success
,,Edit list,Modifier la liste,Editar lista,,modals-AddOrEditList-editList
,,Name,Nom,Nombre,,settings-TagList-name
,,Audience size,Taille de l'audience ,tamaño de la audiencia,,settings-TagList-audienceSize
,,Delete this tag and remove it from all contact records?,Supprimez cette balise et supprimez-la de tous les enregistrements de contact,"¿Eliminar esta etiqueta y quitarla de todos los registros de contacto?
",,settings-TagList-deleteTag
,,This action cannot be undone,Cette action ne peut pas être annulée,Esta acción no se puede deshacer,,settings-TagList-cannotBeUndone
,,Announcement channel updated successfully.,Canal d'annonce mis à jour avec succès,Canal de anuncios actualizado correctamente,,settings-TagList-success
,,There was an error,Il y a une erreur,Ha habido un error,,settings-TagList-error
,,List name has already been taken,Le nom de la liste a déjà été pris,El nombre de la lista ya ha sido seleccionado,,settings-TagList-nameTaken
,,List created successfully,Liste créée avec succès,Lista creada correctamente,,settings-TagList-createdSuccessfully
,,List deleted successfully,Liste supprimée avec succès,Lista eliminada correctamente,,settings-TagList-deletedSuccessfully
,,List updated successfully,Liste mise à jour avec succès,Lista actualizada correctamente,,settings-TagList-updatedSuccessfully
,,You need to create an announcements channel before setting the reply destination.,Vous devez créer un canal d'annonces avant de définir la destination de réponse,"Es necesario crear un canal de anuncios previamente, antes de establecer el destino de respuesta.",,settings-AnnouncementGroup-needCreateAnnouncements
,,Contact Prokeep to setup your announcements channel.,Contactez Prokeep pour configurer votre canal d'annonces,Contactar Pro Keep para configurar sus canal de anuncios.,,settings-AnnouncementGroup-contactProkeep
,,,,,,
Threads,Inbox,"Click Here to watch our 20-minute ""Get Started"" training video","Cliquez ici pour voir notre vidéo de formation de 20 minutes ""Commencer""","Haga clic aquí para ver nuestro video de 20 minutos de entrenamiento para comenzar a usar la aplicación
",only on new app,threads-GettingStarted-clickHere
,,Group,Groupe,Grupo,,threads-ThreadsListColumnHeader-group
,,Groups,Groupes,grupos,,threads-ThreadsListColumnHeader-groups
,,Select All,Tout sélectionner,Seleccionar todo,,threads-ThreadsListColumnHeader-selectAll
,,Inbox,Boîte de réception,Bandeja de entrada,,threads-Threads-inbox
,,Open,Ouvert,Abierto,,threads-Threads-open
,,Closed,Fermé,Cerrado,,threads-Threads-close
,,Coffee Break!,Pause café!,¡Descanso!,,threads-Threads-coffeeBreak
,,The inbox is empty,La boîte de réception est vide,La bandeja de entrada está vacía,,threads-Threads-inboxEmpty
,,Claim Thread,Réclamer une conversation,Reclamar hilo,,threads-ThreadHistory-claimThread
,,Message Failed,Échec du message,Fallo en el mensaje,,threads-Message-messageFailed
,,{name} has transferred this message to {targetName},{name} a transféré ce message à {targetname},{name} ha trasladado este mensaje a  {targetName},,threads-Message-hasTransferredTo
,,Thread has been claimed by {name},Cette conversation a été réclame par {name},"El hilo ha sido reclamado por {name}
",,threads-ThreadHistory-claimedBy
,,Go to claimed thread,Aller à la conversation réclamée,Ir al hilo atendido,,threads-ThreadHistory-goToThread
,,Loading Previous Thread,Chargement de la conversation réclamée,Cargando hilo anterior,,threads-ThreadHistory-loading
,,Load Previous Thread,Chargement de la conversation précédente,Cargar el hilo anterior,,threads-ThreadHistory-loadPrevious
,,Return to Full Conversation History,Retour  à l'historique complète de la conversation,"Volver al historial completo
",,threads-ThreadHistory-return
,,,,,,
Threads,Open,My Threads,Mes conversations,Mis temas,,threads-Threads-myThreads
,,All Claimed Threads,Toute les conversation réclamées,Sus hilos atendidos,,threads-Threads-AllClaimedThreads
,,You don't have any open threads,Vous n'avez aucune conversation ouverte,No tiene ningún hilo abierto,,threads-Threads-noOpenThreads
,,Grab an unclaimed thread from the inbox,Récupérer une conversation non réclamée dans la boîte de réception,"Seleccionar un hilo no atendido de la bandeja de entrada
",,threads-Threads-grabUnclaimedThread
,,,,,,
Threads,Open>{ID},Add reference number,Ajouter le numéro de référence,Agregar número de referencia,,threads-ReferenceNumber-addReferenceNumber
,,Press Shift + Enter to Send,Presser sur Maj + Entrée pour envoyer,Presione Shift + Enter para enviar,,threads-SubmitMessageInput-placeholder
,,Send,Envoyer,Enviar,,threads-SubmitMessageInput-send
,,Unsupported file type,Type de fichier non supporté,Tipo de archivo no soportado,,threads-SubmitMessageInput-unsupported
,,"File too large, max size 5MB","Fichier trop large, taille maximum 5MB","Archivo demasiado grande. 5 MB es el máximo soportado
",,threads-SubmitMessageInput-fileTooLarge
,,"Attach a JPG, PNG, or PDF","Joindre JPG, PNG ou PDF","Adjuntar un archivo JPG, PNG o PDF",,threads-SubmitMessageInput-attachmentInputTitle
,,Insert an Emoji,Insérer un émoji,Insertar un Emoji,,threads-SubmitMessageInput-insertAnEmoji
,,Today,Aujourd'hui,Hoy,,threads-SeparatorDate-today
,,to,à,a,,threads-Separator-to
,,,,,,
Threads,Open>{ID}>Customer Info,Message,Message,Mensaje,,slideouts-CustomerInfo-message
,,First Name,Prénom,Nombre,,slideouts-CustomerNameEdit-firstName
,,Last Name,Nom,Apellido,,slideouts-CustomerNameEdit-lastName
,,Company,Entreprise,Empresa,,slideouts-CustomerNameEdit-company
,,"**click save to create \""{companyVal}\""","**cliquer sur enregistrer pour créer \""{companyVal}\""","**Haga clic en Guardar para crear \""{companyVal}\""",,slideouts-CustomerNameEdit-clickSave
,,Name,Nom,Nombre,,slideouts-CustomerAccountNameEdit-name
,,Team Members,Membres d'équipe,Miembros del equipo,,slideouts-CustomerInfo-teamMembers
,,Enter Company Name,Entrer le nom de l'entreprise,"Introducir nombre empresa
",,slideouts-CompanyDropDown-enterName
,,"Create new company \""{companyName}\""","Creer une nouvelle entreprise \""{companyName}\""","Crear nueva empresa \""{companyName}\""",,slideouts-CompanyDropDown-createNew
,,Add New,Ajouter nouveau,Agregar nuevo,,slideouts-CustomerInfo-addNew
,,Company Acct #,# de compte de l'entreprise,Cuenta de la empresa,,slideouts-CustomerInfo-companyAcct
,,Company email,Courriel de l'entreprise,correo de la empresa,,slideouts-CustomerInfo-companyEmail
,,Company phone,Téléphone de l'entreprise,Teléfono de la empresa,,slideouts-CustomerInfo-companyPhone
,,Phone,Téléphone,Teléfono,,slideouts-CustomerInfo-phone
,,Email Address,Adresse courriel,Dirección de correo electrónico,,slideouts-CustomerInfo-email
,,Groups,Groupes,grupos,,slideouts-CustomerInfo-groups
,,Priority Notifications,Notification de priorité,Notificaciones de prioridad,,slideouts-CustomerInfo-priority
,,Account Rep,Représentant de compte,Representante de cuenta,,slideouts-CustomerInfo-accountRep
,,enabled,activer,habilitado,,slideouts-CustomerInfo-enabled
,,disabled,désactiver,deshabilitado,,slideouts-CustomerInfo-disabled
,,Notes,Notes,notas,,slideouts-CustomerInfo-notes
,,Nothing to see here,rien à voir ici,Nada que ver aqui,,slideouts-CustomerInfo-nothingToSee
,,Save,Enregistrer,Guardar,,slideouts-EditSaveCancel-save
,,Cancel,Annuler,Cancelar,,slideouts-EditSaveCancel-cancel
,,Invalid Phone Number,Numéro de téléphone invalide,Numero de telefono invalido,,slideouts-validation-invalidPhone
,,Invalid email address.,Adresse courriel invalide,dirección de correo electrónico válida.,,slideouts-validation-invalidEmail
,,Last Modified {date},Dernière modification {date} ,"Última actualización {date}
",,slideouts-CustomerInfo-lastModified
,,Please choose account rep first.,Veuillez d'abord choisir un représentant de compte,"Por favor seleccione primero un representante de cuenta.
",,slideouts-CustomerAccountRepEdit-pleaseChoose
,,Prioty Notification,Notification de priorité,Notificación prioty,,slideouts-CustomerAccountRepEdit-priority
,,Show new messages to account rep first,Afficher d'abord le message au représentant de compte,"Mostrar primero nuevos mensajes al representante de cuenta
",,slideouts-CustomerAccountRepEdit-showNewMessages
,,Announcement Lists,Listes d'annonce,Listas de anuncios,,slideouts-CustomerInfo-announcementLists
,,Opt In status,Statut d'abonnement,Estado de incluido,,slideouts-CustomerInfo-optInStatus
,,Opted In,Abonné,Incluido,,slideouts-CustomerInfo-optedIn
,,Opted Out,Désabonné,excluido,,slideouts-CustomerInfo-optedOut
,,No associated announcements list.,Pas de liste d'annonce associé,"No hay lista de anuncios asociadas.
",,slideouts-CustomerInfo-noList
,,Opt-out,Se désabonner,optar por no,,slideouts-CustomerInfo-optOut
,,Opt this customer out of all announcements.,Désabonner ce client de toutes les annonces,"Incluir a este cliente en todos los anuncios.
",,slideouts-CustomerInfo-optThisCustomer
,,Search for list by name,Rechercher la liste par nom,Búsqueda de lista por el nombre,,slideouts-CustomerInfo-searchForListByName
,,Delete,Supprimer,Eliminar,,slideouts-CustomerInfoOptions-delete
,,Block,Bloquer,Bloquear,,slideouts-CustomerInfoOptions-block
,,Are you sure you want to delete {name}?,Êtes-vous sûre que vous voulez supprimer {name} ?,"¿Está seguro de que quiere borrar a {name}?
",,slideouts-CustomerInfoOptions-areYouSureDelete
,,This action will permanently delete the Contact and all Messages associated with the Contact.,Cette action va supprimer ce contact définitivement et tous les Messages associés au contact,"Esta acción eliminará permanentemente el contacto y todos los mensajes asociados al mismo.
",,slideouts-CustomerInfoOptions-actionPermanentlyDelete
,,Cancel,Annuler,Cancelar,,slideouts-CustomerInfoOptions-cancel
,,Block {number} from starting new threads?,Bloquer {number} à commencer une nouvelle conversation,Bloquear {number} de iniciar nuevos temas?,,slideouts-CustomerInfoOptions-blockNumber
,,Admin users can manage your blocked numbers under Blocked Numbers in Settings.,Les administrateurs peuvent gérer les numéros bloqués dans la section Numéros Bloqués dans les paramètres,"Los usuarios administradores pueden gestionar sus números bloqueados en la pestaña de Ajustes > Números Bloqueados
",,slideouts-CustomerInfoOptions-adminsCanManageBlocked
,,this contact,Ce contact,este contacto,,slideouts-CustomerInfoOptions-thisContact
,,Success! {number} is now being blocked.,Succès! {number} est maintenant bloqué.,"¡Éxito! {number} ha sido bloqueado.
",,slideouts-CustomerInfoOptions-blockSuccess
,,Attempt to block {number} has failed.,Tentative de bloquer {number} a échoué,"Ha habido un error al bloquear al numero {number}
",,slideouts-CustomerInfoOptions-blockFailure
,,{firstName} {lastName} has been successfully deleted from your contacts.,{firstName} {lastName} a été supprimé de vos contacts avec succès.,"{firstName} {lastName} se ha eliminado correctamente de sus contactos.
",,slideouts-CustomerInfoOptions-nameDeleteSuccess
,,{number} has been successfully deleted from your contacts.,{number} a été supprimé de vos contacts avec succès.,{number} se ha eliminado correctamente de sus contactos.,,slideouts-CustomerInfoOptions-numberDeleteSuccess
,,Attempt to delete {firstName} {lastName} has failed.,Tentative de bloquer {firstName} {lastName} a échoué.,"Ha habido un error al eliminar a {firstName} {lastName}
",,slideouts-CustomerInfoOptions-deleteContactFailure
,,{name} has been successfully deleted from your contacts.,{name} a été supprimé de vos contacts avec succès.,{name} se ha eliminado correctamente de sus contactos.,,slideouts-CustomerInfoOptions-deleteAccountSuccess
,,Attempt to delete {name} has failed.,Tentative de supprimer {name} a échoué.,Intentará eliminar {name} ha fallado.,,slideouts-CustomerInfoOptions-deleteAccountFailure
,,,,,,
Threads,Block Number (unknown),Block {number}?,Bloquer {number}?,Bloquear {number}?,,modals-BlockNumber-block
,,Admin users can manage your blocked numbers under Blocked Numbers in Settings.,Les administrateurs peuvent gérer les numéros blqués sous numéros bloqués dans paramètre,"Los usuarios administradores pueden gestionar sus números bloqueados en la pestaña de Ajustes > Números Bloqueados
",,modals-BlockNumber-manageBlocked
,,Cancel,Annuler,Cancelar,,modals-BlockNumber-cancel
,,"Yes, block this number","Oui, Bloquer ce numéro","Sí, bloquear este número",,modals-BlockNumber-yesBlock
,,Attempt to block {number} has failed,Tentative de bloquer {number} a échoué,"Ha habido un error al bloquear al numero {number}
",,modals-BlockNumber-couldNotBlock
,,Attempt to delete {number} has failed,Tentative de supprimer {number} a échoué,"Ha habido un error al eliminar al número {number}
",,modals-BlockNumber-couldNotDelete
,,Success! {number} is now being blocked.,Succès!  {number} est maintenant bloqué,¡Éxito! {number} ahora está siendo bloqueado.,,modals-BlockNumber-success
,,{name} has been successfully deleted from your contacts, {name} a été supprimé de vos contacts avec succès ,{name} se ha eliminado correctamente de sus contactos,,modals-BlockNumber-nameDeleted
,,,,,,
Threads,Upload a file,Upload a file,Télécharger un fichier,Cargar un archivo,,modals-UploadModal-uploadFile
,,Filename,Nom du fichier,Nombre del archivo,,modals-PhotoForm-filename
,,Comment (optional),Commentaire (optionnel),Comentario (opcional),,modals-PhotoForm-comment
,,Uploading...,Téléchargement,Subiendo ...,,modals-Uploader-uploadingEllipsis
,,Annotate and reply,Annoter et répondre,Anotar y responder,,modals-PhotoModal-annotateReply
,,Photo Attachment:,Photo jointe,Foto adjunta:,,modals-PhotoModal-photoAttachment
,,Submit,Soumettre,Enviar,,modals-UploadModal-submit
,,Filename,Nom du fichier,Nombre del archivo,,modals-DocumentForm-filename
,,Comment (optional),Commentaire (optionnel),Comentario (opcional),,modals-DocumentForm-comment
,,Press Shift + Enter to Submit,Presser Maj + Entrer pour soumettre,Presione Shift + Enter para Presentar,,modals-DocumentForm-pressShift
,,Submit,Soumettre,Enviar,,modals-DocumentForm-submit
,,Unsupported File Type,Type de fichier non supporté,Tipo de archivo no soportado,,modals-UploadModal-unsupportedFile
,,"File too large, max size 5 MB","Fichier trop large, taille maximum 5MB","El archivo es demasiado grande, el tamaño máximo permitido es de 5 MB
",,modals-UploadModal-fileTooLarge
,,,,,,
Threads,Closed,Thread has been closed by {name},La conversation a été fermée par {name},El hilo ha sido cerrado por {name},,threads-ThreadHistory-closedBy
,,Go To All Threads For This Contact,Allez à toutes les conversations pour ce contact,"Ir a todos los hilos de este contacto
",,threads-ThreadHistory-goToAllThreads
,,Print,Imprimer,Imprimir,,threads-ThreadDetailsHeader-print
,,Transfer,Transférer,Transferir,,threads-ThreadDetailsHeader-transfer
,,Create Contact,Créer contact,Crear contacto,,threads-ThreadDetailsHeader-createContact
,,Block,Bloquer,Bloquear,,threads-ThreadDetailsHeader-block
,,Close,Fermer,Cerrar,,threads-ThreadDetailsHeader-close
,,New Messages,Nouveaux messages,Nuevos mensajes,,threads-ThreadHistory-newMessages
,,,,,,
Threads,New Contact,Create,Créer,Crear,,sidebar-CreateSidebar-create
,,New Contact,Nouveau contact,Nuevo contacto,,slideouts-CreateCustomerForm-newContact
,,First Name,Prénom,Nombre,,slideouts-CreateCustomerForm-firstName
,,Last Name,Nom,Apellido,,slideouts-CreateCustomerForm-lastName
,,Phone,Téléphone,Teléfono,,slideouts-CreateCustomerForm-phone
